<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,,<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,first,high,low,close
Gold.Coin.9712,20180609,2200000,2288969,2200000,2257070,50829218340,22520,505,D,2154249,2271000,,,Lotus.Gold.Com.ETF,20180609,18200,18888,17900,18333,4.57213E+11,24939741,1862,D,17707,18600,,120.8791209,121.1864147,122.9050279,123.1151475
Gold.Coin.9712,20180603,2148998,2164000,2140000,2154249,32313738090,15000,210,D,2138216,2160000,,,Lotus.Gold.Com.ETF,20180603,17600,17825,17570,17707,1.73482E+11,9797552,832,D,17542,17780,,122.1021591,121.4025245,121.7985202,121.6608686
Gold.Coin.9712,20180602,2144000,2150000,2121000,2138216,31089669370,14540,340,D,2153922,2144000,,,Lotus.Gold.Com.ETF,20180602,17640,17650,17251,17542,1.6331E+11,9309428,810,D,17704,17500,,121.5419501,121.8130312,122.9493942,121.8912325
Gold.Coin.9712,20180530,2145000,2184000,2130000,2153922,45016969200,20900,532,D,2112726,2140000,,,Lotus.Gold.Com.ETF,20180530,17624,17910,17500,17704,3.33905E+11,18860763,1876,D,17343,17500,,121.7090331,121.9430486,121.7142857,121.663014
Gold.Coin.9712,20180529,2070010,2133000,2070010,2112726,74114444660,35080,430,D,2054779,2120600,,,Lotus.Gold.Com.ETF,20180529,17105,17591,17030,17343,3.24874E+11,18732662,1561,D,16947,17499,,121.017831,121.2551873,121.5507927,121.8201003
Gold.Coin.9712,20180528,2045000,2075000,2041005,2054779,22890240390,11140,269,D,2039985,2066000,,,Lotus.Gold.Com.ETF,20180528,16870,17097,16860,16947,1.93505E+11,11418597,855,D,16826,17051,,121.2211025,121.3663216,121.0560498,121.2473594
Gold.Coin.9712,20180527,2033000,2047000,2030000,2039985,13831101180,6780,157,D,2031261,2042000,,,Lotus.Gold.Com.ETF,20180527,16839,16902,16711,16826,90980661182,5407093,494,D,16791,16861,,120.7316349,121.1099278,121.4768715,121.2400452
Gold.Coin.9712,20180526,2049998,2049998,2020001,2031261,55047173360,27100,198,D,2019605,2025900,,,Lotus.Gold.Com.ETF,20180526,16753,16890,16734,16791,72952472281,4344701,575,D,16684,16742,,122.366024,121.3734754,120.712382,120.9731999
Gold.Coin.9712,20180523,2000210,2039500,2000210,2019605,13046650180,6460,186,D,2011477,2024000,,,Lotus.Gold.Com.ETF,20180523,16602,16764,16600,16684,94652280584,5673276,462,D,16683,16718,,120.4800626,121.6595085,120.4945783,121.0504076
Gold.Coin.9712,20180522,1969000,2045000,1965000,2011477,34738213530,17270,298,D,1988039,2022000,,,Lotus.Gold.Com.ETF,20180522,16660,16840,16550,16683,1.71746E+11,10294478,940,D,16482,16680,,118.1872749,121.4370546,118.7311178,120.5704609
